Country_Name,ISO,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Bhutan,BTN,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,19,20,21,21,21,21,21,21,22,22,23,23,23,23,23,23,23,24,24,25,25,25,25,29,39,39,39,39,39,40,40,40,40,39,40,40,40
Bolivia (Plurinational State of),BOL,48,48,48,48,49,50,51,51,51,51,52,51,51,51,51,53,53,53,53,58,57,56,56,57,58,58,59,59,59,59,60,60,60,60,60,60,59,58,58,59,59,58,57,57,57,57,57,57,56,56,57,57,57,59,59,58
Bosnia and Herzegovina,BIH,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41,41,42,43,43,42,44,43,43,42,45,44,45,46,45,46,46,46,50,50,49,49,49,49,49
Botswana,BWA,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,12,12
Brazil,BRA,52,53,53,53,53,54,54,54,55,56,55,55,54,54,54,55,55,55,55,55,56,56,56,57,55,57,56,56,57,57,58,59,57,56,55,56,56,56,55,56,57,58,58,58,58,58,58,58,59,57,57,59,58,58,54,55
British Virgin Islands,VGB,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Brunei Darussalam,BRN,12,12,12,12,12,12,12,12,11,11,11,12,12,12,11,11,11,12,11,12,12,12,12,12,12,11,11,12,12,19,20,19,21,21,21,21,21,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
Bulgaria,BGR,66,66,67,67,66,65,63,64,65,63,65,64,63,62,62,61,62,61,61,61,61,62,60,61,59,59,60,60,61,57,56,54,56,59,59,58,59,60,60,60,60,63,61,62,58,60,59,59,60,61,61,61,62,61,60,60
Burkina Faso,BFA,23,23,23,23,23,23,23,23,23,23,23,23,23,24,24,24,24,25,25,25,25,25,27,28,29,29,29,29,29,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,29,29
Burundi,BDI,24,24,24,24,24,24,24,24,24,25,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,23,23
Cambodia,KHM,25,26,26,25,26,26,26,25,25,25,24,25,24,23,23,24,24,24,23,23,23,23,24,24,24,24,24,24,24,24,25,25,25,25,25,25,26,26,26,26,26,26,26,26,25,25,26,26,26,26,26,27,27,27,25,25
Cameroon,CMR,33,34,34,34,35,35,35,35,35,35,35,35,35,35,35,36,36,36,36,38,38,39,39,39,39,39,39,39,39,45,45,46,46,47,47,48,48,48,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,46,46
Canada,CAN,41,41,41,41,38,39,40,41,39,41,41,41,41,40,42,42,42,42,42,43,42,44,43,43,43,43,44,43,45,45,45,46,47,47,47,48,48,47,48,48,50,50,50,50,49,50,49,48,48,49,48,47,49,49,49,49
Cape Verde,CPV,18,18,18,18,18,18,18,18,18,18,17,18,17,18,17,17,17,17,17,17,17,17,17,17,17,17,25,25,25,25,23,22,25,25,25,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,25,26,26,26,26,26
Cayman Islands,CYM,NaN,NaN,NaN,NaN,NaN,10,10,10,10,10,10,10,10,10,10,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Central African Republic,CAF,27,28,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,27,28,28,28,28,29,29,29,29,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,27,27
Chad,TCD,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,22,23,23,23,23,23,23,23,23,23,23,22,22
Chile,CHL,49,49,49,49,49,49,49,49,49,49,49,49,49,51,51,51,52,52,52,52,52,51,52,53,53,53,53,52,54,53,56,56,56,56,56,56,57,57,57,57,57,56,56,57,58,58,58,58,59,58,58,59,59,59,58,59
China,CHN,66,68,67,67,67,67,67,68,67,68,68,68,68,69,68,68,68,69,71,70,71,71,71,72,73,73,74,74,74,74,76,76,79,78,79,80,79,79,79,82,81,83,83,84,84,84,86,87,87,87,88,88,88,88,85,85
Colombia,COL,42,42,42,42,42,42,42,42,42,42,43,43,43,43,43,42,42,42,42,43,43,43,43,43,45,45,46,47,47,46,47,44,47,46,45,45,48,48,56,57,56,58,58,57,58,58,58,59,59,59,59,59,58,57,55,54
