Country_Name,ISO,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,AFG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,12.3526810392542,6.90172394184137,4.74982358544972,4.62517789774207,1.56116120047841,1.5386140006631,1.82863542634284,9.15459797862319,10.7076420639064
Albania,ALB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,3.07466527341939,3.86542725848755,4.53782607136802,3.64293376729334,3.27569565270773,3.08977928414398,2.35285225335981,3.00419896738861,3.34006757661097,2.28764027126647,2.29618435486596,4.28320457070144,2.24296769555042,3.90075744835951,4.16873703011594,4.69113468513761,5.12863402514829,5.54776007001146,3.52556771536568,6.22801005413581,8.29013281548967
Algeria,DZA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1.52055213227482,1.77541683168046,0.888228016103378,2.79184311689065,2.68981605029277,0.905328056522461,0.616173091697242,0.526171232266422,0.783882284026668,0.541293361837823,0.841070638411799,0.779321749596767,0.776907618232529,0.888198751426576,0.997252637471188,0.968314140068136,1.13200457777376,0.907364637800071,2.34409646578372,2.21215359043714,1.74807526144971,1.96240644827912,1.48215194709515,1.23489274992816,1.69265543180287
American Samoa,ASM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Angola,AGO,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Antigua and Barbuda,ATG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,4.39739441852738,6.24580559356037,0,0,0,0,3.88916917416497,0,6.96824685997617,0,6.86443785736988,6.55338672511985,9.24999882089509,9.8469991832705,6.56219573214424,6.71781930898057,5.32179081058491,4.09159738466193
Argentina,ARG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,59.9878298012635,63.0959036318572,75.9615656666476,81.4328986680823,84.4499668097676,85.5841596315765,91.1553114542673,86.7282775666876,96.2660298655392,118.189825434616,111.757401927126,120.335809459267,118.554562612116,129.245759535723,131.896519924995,139.888647133607,158.14771871429,112.630153417664,117.298701661154,132.955452327074,124.449288228034,105.949811956286,111.618347340432,103.583196466924
Armenia,ARM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,4.83153661112435,0,3.59384146248785,6.2165354118582,8.85334727459237,10.1788188352982,12.8598433102371,9.57020438665787,11.5042557702222,8.24016021434469,3.84721326012019,8.86689907139434,7.56904412544267,8.9495464138423,9.71498125439786,16.5431101674114,19.2341461198081,19.678934431073,21.0825827113804,29.8551800694874
Australia,AUS,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61.5188354600422,75.0692611276981,84.0970758285823,89.7807201196123,98.4771486171633,95.2149934450211,99.4316081533809,99.1244091519008,90.0210400132204,101.205251784873,98.9646204793645,100.018475192745,88.265392388889,97.0544986336931,97.0703254520671,87.0297811856958,89.3722698430635,96.4501758417182,89.0369958952014,95.7422544255455,90.8481773373844,93.5076788770263,89.5059594106597,88.6363682978735,100.047527436064,96.8456864841593,96.8660292692314
Austria,AUT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,35.835258830873,43.5236187494598,56.7355321452609,68.2701071188784,76.204928377943,87.3895600104485,96.13681444883,106.833418062057,119.736586156171,140.233619146064,146.987192337693,184.869264257349,187.216163089034,178.00042342361,198.270092762923,213.963979076618,204.794687900112,198.916059062017,208.526302598024,229.956858325259,239.37361360734,257.740691311758,267.690548527899
